FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
nt50734.b.fits,B,HD 210144,standard,fixed,+22:06:41.49,+53:07:58.5,2001/9/25,43:58.2,52177.40553,1.266,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
flat0735.a.fits,A,flat lamp,calibration,fixed,+22:06:41.52,+53:07:51.2,2001/9/25,45:14.8,52177.40642,1.268,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0736.a.fits,A,flat lamp,calibration,fixed,+22:06:41.52,+53:07:51.2,2001/9/25,45:41.0,52177.40672,1.268,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0737.a.fits,A,flat lamp,calibration,fixed,+22:06:41.52,+53:07:51.2,2001/9/25,46:07.1,52177.40703,1.269,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0738.a.fits,A,flat lamp,calibration,fixed,+22:06:41.52,+53:07:51.2,2001/9/25,46:33.4,52177.40733,1.27,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0739.a.fits,A,flat lamp,calibration,fixed,+22:06:41.52,+53:07:51.2,2001/9/25,46:59.6,52177.40763,1.27,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
arc0740.a.fits,A,arc lamp,calibration,fixed,+22:06:41.52,+53:07:51.2,2001/9/25,47:33.0,52177.40802,1.271,0.18,10,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50741.a.fits,A,HD 489,target,fixed,+00:09:28.41,+19:06:58.3,2001/9/25,54:15.0,52177.41267,1.003,1,30,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50742.b.fits,B,HD 489,target,fixed,+00:09:27.87,+19:06:59.2,2001/9/25,55:04.8,52177.41325,1.003,1,30,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50743.b.fits,B,HD 489,target,fixed,+00:09:27.88,+19:06:59.3,2001/9/25,55:51.8,52177.41379,1.003,1,30,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50744.a.fits,A,HD 489,target,fixed,+00:09:28.39,+19:06:58.2,2001/9/25,56:41.6,52177.41437,1.002,1,30,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50745.a.fits,A,HD 489,target,fixed,+00:09:28.39,+19:06:58.1,2001/9/25,57:28.4,52177.41491,1.002,1,30,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50746.b.fits,B,HD 489,target,fixed,+00:09:27.87,+19:06:59.0,2001/9/25,58:18.2,52177.41549,1.002,1,30,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0747.a.fits,A,flat lamp,calibration,fixed,+00:09:28.39,+19:06:58.1,2001/9/25,59:31.5,52177.41634,1.002,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0748.a.fits,A,flat lamp,calibration,fixed,+00:09:28.39,+19:06:58.1,2001/9/25,59:57.8,52177.41664,1.002,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0749.a.fits,A,flat lamp,calibration,fixed,+00:09:28.38,+19:06:58.1,2001/9/25,00:24.0,52177.41694,1.002,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0750.a.fits,A,flat lamp,calibration,fixed,+00:09:28.39,+19:06:58.1,2001/9/25,00:50.3,52177.41725,1.002,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0751.a.fits,A,flat lamp,calibration,fixed,+00:09:28.38,+19:06:58.1,2001/9/25,01:16.5,52177.41755,1.001,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
arc0752.a.fits,A,arc lamp,calibration,fixed,+00:09:28.39,+19:06:58.1,2001/9/25,01:49.8,52177.41794,1.001,0.18,10,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50753.a.fits,A,2001 OG108,target,moving,+00:43:38.00,+20:29:17.3,2001/9/25,06:30.3,52177.42118,1.013,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50754.b.fits,B,2001 OG108,target,moving,+00:43:37.24,+20:29:17.5,2001/9/25,08:51.1,52177.42281,1.012,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50755.b.fits,B,2001 OG108,target,moving,+00:43:37.06,+20:29:17.8,2001/9/25,11:08.9,52177.42441,1.01,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50756.a.fits,A,2001 OG108,target,moving,+00:43:37.39,+20:29:19.2,2001/9/25,13:29.7,52177.42604,1.009,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50757.a.fits,A,2001 OG108,target,moving,+00:43:37.17,+20:29:19.9,2001/9/25,15:47.5,52177.42763,1.008,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50758.b.fits,B,2001 OG108,target,moving,+00:43:36.41,+20:29:20.4,2001/9/25,18:08.3,52177.42926,1.007,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50759.b.fits,B,2001 OG108,target,moving,+00:43:36.19,+20:29:20.9,2001/9/25,20:26.1,52177.43086,1.006,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50760.a.fits,A,2001 OG108,target,moving,+00:43:36.51,+20:29:22.4,2001/9/25,22:46.9,52177.43249,1.005,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50761.a.fits,A,2001 OG108,target,moving,+00:43:36.28,+20:29:22.9,2001/9/25,25:04.7,52177.43408,1.004,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
